iter	Logloss
0	0.6871660608
1	0.6805006175
2	0.6735211227
3	0.6664741922
4	0.6605926421
5	0.6542053413
6	0.6480119156
7	0.6416465102
8	0.6340601846
9	0.6277989298
10	0.6204605213
11	0.6150408422
12	0.6113841988
13	0.6061638282
14	0.6012447515
15	0.5964478876
16	0.5921433563
17	0.5876014332
18	0.5822811127
19	0.5789377534
20	0.5754308231
21	0.5716615127
22	0.5669051826
23	0.5632027012
24	0.5595366015
25	0.5557961088
26	0.5516418661
27	0.5477670029
28	0.5437229775
29	0.5403339715
30	0.5377120255
31	0.5339268178
32	0.5300097741
33	0.5257254389
34	0.522697466
35	0.5192391697
36	0.5154811988
37	0.5117649967
38	0.5080960215
39	0.5045501147
40	0.5011544128
41	0.4964926889
42	0.4934122119
43	0.4903723627
44	0.4874433947
45	0.4844705322
46	0.4815266089
47	0.4793455234
48	0.4767243699
49	0.474434721
50	0.4718216688
51	0.4690711525
52	0.4670050849
53	0.4648730523
54	0.4620075988
55	0.4583937134
56	0.4562075934
57	0.4533609225
58	0.4508285452
59	0.4480420665
60	0.4450942708
61	0.4423195068
62	0.439250002
63	0.4356867951
64	0.4331645396
65	0.4303046551
66	0.4278215281
67	0.4254250168
68	0.4231653177
69	0.4202017432
70	0.4173679277
71	0.4144343839
72	0.4123962008
73	0.4102183005
74	0.4081292426
75	0.4056727245
76	0.4023483135
77	0.4002240822
78	0.3981258335
79	0.3963363276
80	0.3944200788
81	0.3920787608
82	0.390564032
83	0.3884935583
84	0.3861339779
85	0.3841508021
86	0.3822503071
87	0.3808295499
88	0.3791105602
89	0.3765342096
90	0.374769396
91	0.3733067197
92	0.3714648208
93	0.3697785714
94	0.3685085192
95	0.3671193366
96	0.3649036425
97	0.3637202376
98	0.3613056237
99	0.3596473016
100	0.3584074899
101	0.3570963569
102	0.3557795063
103	0.3538447333
104	0.352259277
105	0.3504614347
106	0.3489643083
107	0.3476247162
108	0.3468451308
109	0.3450491121
110	0.3436365907
111	0.3421442175
112	0.340842543
113	0.3397389969
114	0.3385771
115	0.3370103664
116	0.3353895682
117	0.3335509058
118	0.332147938
119	0.3306083856
120	0.329582591
121	0.3283441531
122	0.3266544992
123	0.3252899535
124	0.3237014709
125	0.3220706311
126	0.3208036533
127	0.3193955581
128	0.3182212621
129	0.3164519114
130	0.3147731267
131	0.3132923629
132	0.3123627502
133	0.3111320476
134	0.3093954116
135	0.3080977076
136	0.3065595831
137	0.305536572
138	0.3040760518
139	0.3024874805
140	0.3013653307
141	0.3000760491
142	0.2986405929
143	0.2975684691
144	0.2962382404
145	0.2950390781
146	0.2938063555
147	0.292825888
148	0.2920228451
149	0.2904793362
150	0.2895107796
151	0.2886762892
152	0.2875380482
153	0.2864495514
154	0.2851742607
155	0.2843658713
156	0.283423534
157	0.2826040869
158	0.2815590743
159	0.2807249467
160	0.279206958
161	0.2783254627
162	0.277469246
163	0.2765810308
164	0.2754784184
165	0.2743229434
166	0.2735267521
167	0.2726000886
168	0.2716602461
169	0.2707429053
170	0.2692136484
171	0.2682001364
172	0.2673058227
173	0.26668644
174	0.2652748122
175	0.263871538
176	0.2633844988
177	0.2625088714
178	0.2612746887
179	0.2605975996
180	0.2594992597
181	0.2584958688
182	0.2573383014
183	0.2561045616
184	0.2552667964
185	0.2541479094
186	0.2532020088
187	0.252400673
188	0.2513894443
189	0.2506530381
190	0.2500069448
191	0.2493052778
192	0.248659187
193	0.2475634975
194	0.2466341564
195	0.2459392644
196	0.2450166286
197	0.2440667782
198	0.2435024307
199	0.2425220757
200	0.2421601688
201	0.2410859076
202	0.2404908345
