iter	Logloss
203	0.2397950469
204	0.2388151109
205	0.237983722
206	0.2372532966
207	0.2362398131
208	0.2352793804
209	0.2343974145
210	0.2338765945
211	0.2330595905
212	0.2320876742
213	0.2313246368
214	0.2305320132
215	0.2293919533
216	0.228793689
217	0.2279250283
218	0.22725336
219	0.2265259697
220	0.225614595
221	0.2251706807
222	0.2243856427
223	0.2238689354
224	0.22286008
225	0.2222386769
226	0.2217064542
227	0.2210188898
228	0.2202950528
229	0.2196781593
230	0.2187784213
231	0.2180055106
232	0.2174379409
233	0.2164222701
234	0.2155008948
235	0.2145290991
236	0.214004645
237	0.2132962794
238	0.2125654566
239	0.2117965598
240	0.2111262764
241	0.2104155636
242	0.2097314433
243	0.2089804606
244	0.2084279455
245	0.2082425882
246	0.2076256759
247	0.2071262809
248	0.2065077393
249	0.2058645408
250	0.2051983391
251	0.2043579427
252	0.2036325371
253	0.2029797813
254	0.2023783423
255	0.2019605202
256	0.2012671763
257	0.2007408232
258	0.2000159429
259	0.1993859507
260	0.1988139905
261	0.1979369902
262	0.1974621278
263	0.1969103874
264	0.1965870891
265	0.1960024123
266	0.1955075504
267	0.1947996435
268	0.1943960181
269	0.1934788375
270	0.1932230728
271	0.1928352234
272	0.1921118404
273	0.191505325
274	0.1906217346
275	0.1902907697
276	0.1894866493
277	0.1885219116
278	0.187688279
279	0.1872862544
280	0.1870138206
281	0.1865346441
282	0.1861975852
283	0.1855099407
284	0.1850036403
285	0.1844627212
286	0.1838820469
287	0.1833235232
288	0.1827796164
289	0.1820324404
290	0.1814538032
291	0.1808347839
292	0.1803103148
293	0.179663139
294	0.1792343216
295	0.1786266691
296	0.178110768
297	0.177697438
298	0.1770991952
299	0.1765391979
300	0.1760331029
301	0.1754820002
302	0.174865383
303	0.1742305227
304	0.173824771
305	0.1732755662
306	0.1724354629
307	0.1717214159
308	0.1711088518
309	0.1704761933
310	0.1700944049
311	0.169249306
312	0.1688034602
313	0.1684631073
314	0.1679197756
315	0.1672557763
316	0.1668242386
317	0.166324952
318	0.1657578076
319	0.16506079
320	0.1647043277
321	0.1643408712
322	0.1640049519
323	0.1633592087
324	0.1629061542
325	0.1624313508
326	0.1620363808
327	0.1617007708
328	0.1613878599
329	0.1611527881
330	0.1606642729
331	0.1602010646
332	0.1598657683
333	0.1593745252
334	0.1589370711
335	0.1583303554
336	0.1580128517
337	0.157562903
338	0.157137216
339	0.156810821
340	0.1560769704
341	0.1556126825
342	0.1552960416
343	0.1549082174
344	0.1544237917
345	0.1538975351
346	0.1536250715
347	0.1532514624
348	0.1527272387
349	0.1522786546
350	0.1519516886
351	0.1513616366
352	0.1507458588
353	0.1503032872
354	0.1497490357
355	0.1493508699
356	0.1484735886
357	0.1482278915
358	0.1477479796
359	0.1473016156
360	0.1468570228
361	0.1463249393
362	0.1457189725
363	0.1453749264
364	0.1448552855
365	0.1442836864
366	0.1439407441
367	0.1435006942
368	0.1430399485
369	0.1425185499
370	0.1422333162
371	0.1417005174
372	0.1411640169
373	0.1407571637
374	0.1402122266
375	0.1396765122
376	0.1392883461
377	0.1389980002
378	0.1386989991
379	0.1383249899
380	0.1379815878
381	0.1375605285
382	0.1370984598
383	0.1367928068
384	0.1364715704
385	0.1361123937
386	0.1355016913
387	0.1352404755
388	0.1347092717
389	0.1343286302
390	0.1338969913
391	0.1335653053
392	0.1331077841
393	0.1326480907
394	0.1321051022
395	0.1319163531
396	0.1313666302
397	0.1308655456
398	0.1304904742
399	0.1301005012
400	0.1296911069
401	0.1292497229
402	0.1286600089
403	0.1282382697
404	0.1278900482
405	0.1276047225
406	0.1273620855
407	0.1270252448
408	0.1264567922
409	0.1260632949
410	0.1255161991
411	0.1252724537
412	0.1248128974
413	0.1243881624
414	0.1239223552
415	0.1236552583
416	0.1233614692
417	0.1230678065
418	0.1227672925
419	0.1223572614
420	0.1220052964
421	0.1217845239
422	0.1214309702
423	0.1210872172
424	0.1207177361
425	0.1201729183
426	0.1197119212
427	0.1193164385
428	0.1188434613
429	0.1183434321
430	0.1178516351
431	0.1173340696
432	0.1169474846
433	0.1166932256
434	0.1164440056
435	0.1161508215
436	0.1158783167
437	0.1154128367
438	0.1150372396
439	0.114583983
440	0.1144276311
441	0.1140099768
442	0.1136706691
443	0.1133183962
444	0.1129235926
445	0.1126084171
446	0.1120830183
447	0.1115291531
448	0.111153967
449	0.1108986587
450	0.1103225467
451	0.1099618203
452	0.1096443113
453	0.1094538852
454	0.1092395661
455	0.1089071824
456	0.1087003346
457	0.108246028
458	0.1078757043
459	0.1077248866
460	0.1074361591
461	0.1073154005
462	0.1069334615
463	0.106471046
464	0.1061344595
465	0.1057132527
466	0.1052816286
467	0.1050605389
468	0.1046577307
469	0.1043036087
470	0.1039057741
471	0.1035688582
472	0.1032403201
473	0.1028202315
474	0.1025277681
475	0.1021194077
476	0.1017319197
477	0.1012293136
478	0.1008993737
479	0.1005368511
480	0.1003095597
481	0.09996351891
482	0.09957154442
483	0.09929348293
484	0.09893222052
485	0.09870368466
486	0.09854073229
487	0.09824088283
488	0.09802376193
489	0.09774996732
490	0.09741878868
491	0.0970496858
492	0.09679825413
493	0.09640112631
494	0.096102019
495	0.09581493838
496	0.09555498953
497	0.09533362371
498	0.09522971488
499	0.09491984378
